PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic  	Electron.	Nuclear  	Total    	CSDA     	Projected	Detour	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	Range    	Range    	Factor	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	g/cm2    	g/cm2    	      	

1.000E-03	1.235E+02	2.708E+01	1.506E+02	8.301E-06	3.189E-06	0.3841	
1.500E-03	1.513E+02	2.231E+01	1.736E+02	1.137E-05	4.788E-06	0.4213	
2.000E-03	1.747E+02	1.923E+01	1.939E+02	1.409E-05	6.364E-06	0.4517	
2.500E-03	1.953E+02	1.703E+01	2.124E+02	1.655E-05	7.896E-06	0.4771	
3.000E-03	2.140E+02	1.536E+01	2.293E+02	1.881E-05	9.386E-06	0.4989	
4.000E-03	2.461E+02	1.296E+01	2.591E+02	2.291E-05	1.225E-05	0.5346	
5.000E-03	2.745E+02	1.130E+01	2.858E+02	2.658E-05	1.497E-05	0.5631	
6.000E-03	3.002E+02	1.006E+01	3.103E+02	2.993E-05	1.756E-05	0.5867	
7.000E-03	3.238E+02	9.102E+00	3.329E+02	3.304E-05	2.004E-05	0.6066	
8.000E-03	3.456E+02	8.331E+00	3.539E+02	3.595E-05	2.243E-05	0.6237	
9.000E-03	3.659E+02	7.696E+00	3.736E+02	3.870E-05	2.472E-05	0.6387	
1.000E-02	3.850E+02	7.162E+00	3.922E+02	4.132E-05	2.694E-05	0.6520	
1.250E-02	4.230E+02	6.132E+00	4.291E+02	4.740E-05	3.221E-05	0.6797	
1.500E-02	4.557E+02	5.386E+00	4.611E+02	5.301E-05	3.720E-05	0.7018	
1.750E-02	4.847E+02	4.818E+00	4.895E+02	5.827E-05	4.196E-05	0.7200	
2.000E-02	5.105E+02	4.369E+00	5.149E+02	6.325E-05	4.651E-05	0.7354	
2.250E-02	5.338E+02	4.003E+00	5.378E+02	6.800E-05	5.090E-05	0.7486	
2.500E-02	5.548E+02	3.700E+00	5.584E+02	7.256E-05	5.515E-05	0.7602	
2.750E-02	5.737E+02	3.443E+00	5.771E+02	7.696E-05	5.928E-05	0.7703	
3.000E-02	5.909E+02	3.223E+00	5.941E+02	8.123E-05	6.331E-05	0.7794	
3.500E-02	6.208E+02	2.864E+00	6.237E+02	8.943E-05	7.111E-05	0.7951	
4.000E-02	6.459E+02	2.583E+00	6.484E+02	9.729E-05	7.862E-05	0.8081	
4.500E-02	6.665E+02	2.356E+00	6.689E+02	1.049E-04	8.592E-05	0.8192	
5.000E-02	6.833E+02	2.169E+00	6.855E+02	1.123E-04	9.304E-05	0.8288	
5.500E-02	6.966E+02	2.011E+00	6.986E+02	1.195E-04	1.000E-04	0.8373	
6.000E-02	7.068E+02	1.877E+00	7.087E+02	1.266E-04	1.069E-04	0.8448	
6.500E-02	7.144E+02	1.761E+00	7.162E+02	1.336E-04	1.138E-04	0.8516	
7.000E-02	7.197E+02	1.659E+00	7.214E+02	1.406E-04	1.206E-04	0.8577	
7.500E-02	7.230E+02	1.570E+00	7.246E+02	1.475E-04	1.273E-04	0.8633	
8.000E-02	7.245E+02	1.490E+00	7.260E+02	1.544E-04	1.341E-04	0.8685	
8.500E-02	7.245E+02	1.419E+00	7.259E+02	1.612E-04	1.408E-04	0.8732	
9.000E-02	7.231E+02	1.354E+00	7.244E+02	1.681E-04	1.476E-04	0.8777	
9.500E-02	7.206E+02	1.296E+00	7.219E+02	1.751E-04	1.544E-04	0.8818	
1.000E-01	7.171E+02	1.243E+00	7.184E+02	1.820E-04	1.612E-04	0.8856	
1.250E-01	6.896E+02	1.035E+00	6.906E+02	2.174E-04	1.961E-04	0.9018	
1.500E-01	6.535E+02	8.901E-01	6.544E+02	2.546E-04	2.328E-04	0.9144	
1.750E-01	6.158E+02	7.829E-01	6.166E+02	2.939E-04	2.717E-04	0.9244	
2.000E-01	5.798E+02	7.001E-01	5.805E+02	3.357E-04	3.131E-04	0.9326	
2.250E-01	5.466E+02	6.341E-01	5.472E+02	3.801E-04	3.571E-04	0.9394	
2.500E-01	5.167E+02	5.802E-01	5.173E+02	4.271E-04	4.037E-04	0.9452	
2.750E-01	4.900E+02	5.350E-01	4.906E+02	4.768E-04	4.530E-04	0.9501	
3.000E-01	4.662E+02	4.966E-01	4.667E+02	5.290E-04	5.049E-04	0.9543	
3.500E-01	4.261E+02	4.349E-01	4.265E+02	6.413E-04	6.163E-04	0.9611	
4.000E-01	3.936E+02	3.876E-01	3.940E+02	7.634E-04	7.376E-04	0.9663	
4.500E-01	3.666E+02	3.500E-01	3.669E+02	8.950E-04	8.685E-04	0.9704	
5.000E-01	3.437E+02	3.194E-01	3.440E+02	1.036E-03	1.009E-03	0.9737	
